pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
BASAKI_YBX1_TARGETS_DN	0.000106112054329372	0.00576187277611248	-0.391726343005622	-1.59335402404197	0	282	ASS1|TSC22D3|FAM107B|ISG20|CUEDC1|SLC22A18|KLHL24|MRNIP-DT|SLC7A11|SAT1|YPEL5|GDF15|ZNF350|ZBTB20|CAMK2N1|SLC27A1|SPATA20|FAM83A|ABRAXAS1|MEIS1|GSTM3|H6PD|DDIT4|ACSM3|STOX1|IFI27|CNIH1|CRYM|NEBL|TRAPPC6A|RFX3|MXI1|NCALD|HINT3|VEGFA|BTG1|PDCD4|SCIN|TMEM106B|SERPINB1|FAM228B|CD55|ABCA5|LAMB1|SKIL|ZNF226|DYNC2LI1|GABARAPL1|MAFF|BBX|LMAN1|ZBTB18|BCKDHA|CDK19|FSBP|LSM8|AMN1|CTBS|TMED4|TM7SF2|SEPTIN6|HLA-E|DMXL2|LAMP2|SBF2|GPD1L|ZNF626|RUFY3|NT5DC1|KRCC1|ANKRD36B|PIGP|EEF2K|RAB3IP|IRF2BP2|SCD|GLRX|ZC3H11A
BENPORATH_EED_TARGETS	0.000104744946056353	0.00576187277611248	-0.401840934096323	-1.6494553125075	0	325	TM6SF1|PIGZ|TSLP|PAX6|NDUFA4L2|ULBP2|SETD7|FOXA2|CUEDC1|ROBO3|ALOX5|LTK|RTN4RL2|FBXL8|SLC1A4|GRK5|STC2|RGS20|ULBP1|CNNM2|RELN|EPAS1|HLA-C|UCN|HLA-B|NKX3-2|CAMK2N1|PAX8|MAPT|LRCH2|SPAG6|ATF3|PPM1E|DPF3|CORO6|BATF3|MNX1|ABCA8|BTG2|STXBP6|LGALS3|BACH2|GPAT3|COLGALT2|ELAPOR1|JUN|DCHS2|DLX2|CDT1|H2AC11|NXPH4|ANKRD13C-DT|SCIN|OTX1|ASAH1|ITPKA|HSPA1L|SOX5|SORCS1|VSTM4|H4C8|FGF5|NTRK1|PIP5K1B|PLCB1|RAB32|FAM89A|USH1G|CNRIP1|SLC9A2|ANKRD9|C17orf100|CITED1|PIR|EN1|TAP1|TMEM106C|FZD2|H2AC15|SLC30A3|HYOU1|EEF2|ONECUT2|H3C2|WT1-AS|GLIPR2|VDR|EDEM2|ANKRD27|DLK1|NPAS1
BENPORATH_ES_WITH_H3K27ME3	0.000105496360375567	0.00576187277611248	-0.489816588825982	-1.99802387930203	0	294	UNC5B|PIGZ|LINC01138|MLXIPL|TSLP|PAX6|NDUFA4L2|CRYL1|ULBP2|FOXA2|PARD3B|ITIH5|ROBO3|LTK|KLHL13|RTN4RL2|FBXL8|SLC1A4|GRK5|STC2|TTLL7|RGS20|ULBP1|EIF4E3|TMEM54|NIBAN1|CNNM2|EPAS1|IL10RA|HLA-C|UCN|HLA-B|LEKR1|NKX3-2|CAMK2N1|PAX8|MAPT|MEIS1|LRCH2|SPAG6|ATF3|PPM1E|DPF3|CORO6|BATF3|TLE2|MNX1|SPON2|BTG2|SLC30A10|STXBP6|LGALS3|TMEM185A|GPAT3|RTBDN|COLGALT2|ELAPOR1|HEYL|JUN|RGS9|MXRA7|DCHS2|DLX2|NXPH4|GABBR2|GRB10|RCSD1|SCIN|OTX1|GSN|TCEAL1|ITPKA|HSPA1L|GKAP1|SORCS1|LAMB1|FUCA1|FGF5|FBXO25|NTRK1|PIP5K1B|FAM89A|USH1G|CNRIP1|SLC9A2|CBX4|C17orf100|CITED1|PIR|EN1|TAP1|TMEM106C|FZD2|SLC30A3|PRRT1|ONECUT2|GPD1L|WT1-AS|GLIPR2|VDR|ANKRD27|DLK1|NPAS1
BENPORATH_PRC2_TARGETS	0.000114259597806216	0.00576187277611248	-0.512856184119099	-1.97238152305437	0	151	PIGZ|TSLP|PAX6|NDUFA4L2|FOXA2|ROBO3|LTK|RTN4RL2|FBXL8|SLC1A4|RGS20|EPAS1|UCN|NKX3-2|CAMK2N1|PAX8|MAPT|LRCH2|SPAG6|ATF3|PPM1E|DPF3|CORO6|BATF3|MNX1|BTG2|STXBP6|LGALS3|GPAT3|COLGALT2|ELAPOR1|JUN|DCHS2|DLX2|OTX1|ITPKA|SORCS1|FGF5|NTRK1|PIP5K1B|FAM89A|USH1G|CNRIP1|SLC9A2|CITED1|PIR|EN1|FZD2|SLC30A3|ONECUT2|WT1-AS|VDR|ANKRD27|NPAS1
BENPORATH_SUZ12_TARGETS	0.000106518960374947	0.00576187277611248	-0.467567999110885	-1.89561813196247	0	268	AJUBA|TSC22D3|UNC5B|PIGZ|LINC01138|TSLP|PAX6|NDUFA4L2|SETD7|FOXA2|ROBO3|ALOX5|LTK|RTN4RL2|FBXL8|SLC1A4|RGS20|EIF4E3|TMEM54|NIBAN1|EPAS1|SMIM14|LINC01597|UCN|NKX3-2|CAMK2N1|PAX8|SLC12A5|MAPT|GSTM3|LRCH2|SPAG6|ATF3|PPM1E|DPF3|CORO6|BATF3|MNX1|SPON2|GNG12|BTG2|SLC30A10|STXBP6|LGALS3|GPAT3|COLGALT2|ELAPOR1|JUN|DCHS2|DLX2|SMAD6|IL15RA|GABBR2|RCSD1|OTX1|LETM2|TCEAL1|ITPKA|FOXO4|SYTL4|SORCS1|FGF5|NTRK1|PIP5K1B|PLCB1|FAM89A|USH1G|PCSK9|CNRIP1|SLC9A2|LBH|CITED1|PIR|EN1|FGF13|FZD2|SLC30A3|TBC1D1|ONECUT2|GPR158|WT1-AS|PYCARD|VDR|ANKRD27|SQOR|NPAS1
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.000105340777414937	0.00576187277611248	-0.4539969759012	-1.85301766839245	0	297	DNAJB2|COL6A3|ATF5|MMP14|YPEL3|MARCKS|UBE2H|ST3GAL5|SMIM14|IDH1|DDIT3|ZFP90|FN1|TBX15|MEIS1|ANXA4|PCK2|GSTM3|RABAC1|SEL1L|NPC2|IFI27|LAMB2|HEBP1|CYP4V2|P2RX4|ITPR2|RRAS|PPP3CA|MAPRE3|CCNG2|ITM2C|BPHL|KDELR3|PRNP|SMAD6|GRB10|PDCD4|GAS6|GSN|NUCB2|STX5|PLD3|ARFGAP3|DHRS7|TXNIP|HSD17B11|SND1|ASCC1|MRC2|GSTZ1|NRBP2|POU6F1|MEG3|ID3|LMO7|MAGED2|PSAP|PLTP|SIRT2|TXNDC16|EPRS1|MCEE|HLA-E|EN1|SEC23A|FAM8A1|EIF2AK3|CD24|PHYH|SLC1A5|LAMP2|RAB3D|SQSTM1|ITM2B|MXD4|TOM1|DTD1|VDR|DLK1|CYP51A1|FKBP9|ALDH1A1|SLC44A2|TPP1|GABARAP|ERGIC3|LRBA|WASHC3|RPL22|CTDSP2|SCD|NFIB|CD276|LRP6|BRI3|KLF9|RAB24|ANXA6|ECH1|GRN|DAP|NNMT|CASK|ZSCAN21|TMED3|RAB5B|HES6|LAPTM4A|SEC31A|NAGA|NFIX|MKRN1|CSRP1|TMEM205|CTNND1|ATRAID|PTEN|RRAGC|PRXL2A|TP53INP2|RCN1|ST13|TAPBP
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	0.000122684333210649	0.00576187277611248	-0.541885377156121	-1.94723812666114	0	88	CTH|PSAT1|HERPUD1|MTHFD2|AARS1|TRIB3|DNASE2|CEBPG|SESN2|GARS1|CCNB1IP1|ATF4|GPT2|ZNF277|RCSD1|ZFAND1|IGBP1|SARS1|PRTFDC1|LAPTM5|ZNF581|NOA1|ARHGAP9|EPRS1|NOP53|HLA-E|PRKCZ|MYL5|IFRD1|EEF2|METTL9|CRTAP|TMPRSS4|KRCC1|MACROD1|EIF2S3|PYCR1|PGLS|AIG1|RPL3|ZNF490|GCHFR|ABHD14B|RPL12|CSNK2A2|TMEM79
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	0.000109481059776659	0.00576187277611248	-0.44805185208409	-1.78171102479486	0	207	CYFIP2|DHX58|PLAAT4|REC8|G0S2|SLC7A11|APOL6|IFIT3|IFIH1|IL23A|BMPR2|GDF15|APOBEC3F|KDM7A|SAMD9|PABIR3|TRANK1|GALM|SOCS1|TNFAIP3|GPAT3|NCALD|HBEGF|CTSS|CCNG2|C3|KDM7A-DT|IL15RA|LINC-PINT|KLF6|PMAIP1|SEMA7A|IRF1|BLZF1|DTX3L|WIPF1|DDX60L|DAPP1|UBA7|SKIL|TRIM5|BACH1|MAFF|FGF5|CREB5|DCP1A|RP2|DRAM1|THEMIS2|HELZ2|IRF2|TGM2|SP140L|ELOVL7|ARL5B|MOB3C|TAP1|NT5C3A|STAT2|NPC1|CXCL2|NCOA7|PLEKHA4|STARD5|TDRD7|IRF9|CASP7|IL6|TRIM56|SEC24A|LCP1|FSD1L|NMI|GLRX|PLSCR1|GSDMD
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	0.000103305785123967	0.00576187277611248	-0.400588955630461	-1.65783413800106	0	381	KLHDC7B|DHX58|TTC39B|PSMB8|CD40|PLAAT4|REC8|WARS1|UBE2L6|BMF|ULBP1|APOL6|IL10RA|IFIT3|IFIH1|IL23A|HLA-C|BAIAP3|OPTN|BBC3|HLA-B|CHAC1|TLE4|ZNF799|ZNF442|PALM|RBCK1|H2AC25|CORO6|NFKB2|APOBEC3F|ADPRM|KALRN|PABIR3|IFI27|PPP1R3B|TRANK1|GALM|SOCS1|ST7-AS1|NXT2|BCL3|PAOX|FLT3LG|SLC35E4|RNF213|RBM11|JUN|HBEGF|CEBPB|PSMB9|DLX2|VAMP1|CPEB3|ARRDC3|BTN3A1|C3|KDM7A-DT|IL15RA|GRB10|SEMA7A|LGALS3BP|IRF1|PLEKHF1|DTX3L|CMPK2|RCAN1|DDX60L|DAPP1|UBA7|CD83|XBP1|TRIM5|MAFF|FGF5|RIPK2|SNAI1|RP2|IRAK2|GNA13|NOD1|PNRC1|THEMIS2|CBX4|HELZ2|IRF2|TGM2|SP140L|MOB3C|HLA-E|TAP1|NT5C3A|TESK2|STAT2|ADAM8|BCL2L13|EMC9|CXCL2|IFRD1|NCOA7|FBXO6|GTPBP1|STARD5|RABGAP1L|USF1|TDRD7|IRF9|CASP7|SLC25A25|CDKN1C|KCNQ4|TRIM56|CYLD|SP8|SMOX|MASTL|FSD1L|NMI|NUB1|GLRX|PLSCR1|KLF9|GSDMD|IFI35|PTGS1|AKAP7|SIRT1|SOCS2|H3C10|CCDC9|MXD1|STK19|PHF11|MCUB|CXCL3|DLC1|TRIM38|HES6|OAS3|RGS16|PARP14|CSRNP2|CLIC2|TNFAIP8|CSF1|B2M|RHEBL1|FAM76B|RBM43
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	0.000114534417592487	0.00576187277611248	-0.565027074295024	-2.16829964044964	0	146	INHBE|ALDH1L2|ISG20|KLHDC7B|DHX58|NDUFA4L2|BEST1|CTH|UBE2L6|G0S2|STC2|ULBP1|APOL6|IL10RA|IFIT3|IFIH1|IL23A|BBC3|FUT1|CHAC1|ZBTB20|ZNF442|CD69|PCK2|ATF3|KDM7A|SAMD9|PPP1R15A|TRANK1|TNFAIP3|ANKRD33B|BACH2|NEDD4|FLT3LG|RNF213|RBM11|JUN|HBEGF|ARRDC3|IL15RA|KLF6|PMAIP1|SEMA7A|IRF1|TXNIP|DTX3L|CMPK2|DDX60L|DAPP1|TRIM5|CREB5|IRAK2|THEMIS2|HELZ2|KIF21B|TAP1|NT5C3A|ASNS|STAT2|CXCL2|NCOA7
